,date,words
170,2023-11-17 21:59,"['市民', '团体', '双鞋', '环球网', '市民', '团体', '集会', '双', '鞋子', '悼念', '死难者', '参与者', '鞋子', '地带', '所有人', '数字', '时间', '地带', '人', '名', '人数', '人']"
171,2023-11-17 22:58,"['高官', '外长', '外交政策', '代表', '外长', '参观', '基布', '社区', '目标', '官员', '社区', '居民', '基布', '防弹衣', '参观', '时说', '朋友', '理由', '国际法', '框架', '内', '权利', '关心', '人', '自卫权', '人道主义', '人民', '食物', '水', '燃料', '会见', '人质', '亲属', '亲属', '亲人', '立场', '受害者', '报复性', '民众']"
172,2023-11-18 21:53,"['地带', '地区', '民房', '博', '视频']"
173,2023-11-17 23:24,"['岸', '田', '食品', '措施', '核', '污水', '危害', '人类', '日方', '全球', '热点', '时']"
174,2023-11-17 21:58,"['报', '燃料', '货车', '地带', '人', '危机', '传媒', '官员', '内阁', '燃料', '货车', '供水', '下水道', '卫生系统', '限度', '流行病', '地区', '危害', '民众', '部队', '官员', '燃料', '武装', '燃料', '提供援助', '世卫', '燃料', '污水泵', '海水', '淡厂', '疾病', '风险']"
175,2023-11-17 22:57,"['肚子', '西服', '胖说', '全球', '榜样', '国家', '老家', '烤生', '蚝', '饭量', '串儿', '小串', '鱿鱼', '蚝', '饭量']"
176,2023-11-18 21:53,['兄弟']
177,2023-11-17 23:23,"['声称', '国家', '炮弹', '炮弹', '炮兵', '效率', '炮战', '战场', '炮弹', '局势']"
178,2023-11-17 21:58,"['市民', '团体', '双鞋', '国家']"
179,2023-11-17 22:56,"['外长', '信息', '战争', '外长', '媒体', '时称', '大使馆', '利益', '部门', '信息', '对话', '可能性', '战争', '地区', '人民', '罪行', '可能性', '真主党', '真主党', '地区', '部署', '航空母舰', '部队', '战争', '武装部队', '导弹', '被占领土', '战争', '真主党', '战争', '轮巴', '武装', '基地', '部队', '官员', '军方', '卫队', '设施', '设施', '边境', '恐怖分子', '时', '军队', '物资', '军队', '医院', '战争', '方式', '常规', '军队', '指', '军队', '阶段', '地面', '战争', '命运', '导弹', '能力', '军事装备', '可能性']"
180,2023-11-17 23:23,"['火箭弹', '医院', '睁眼', '平民', '人质', '同情', '物资', '舆论', '战']"
181,2023-11-17 21:58,"['市民', '团体', '双鞋', '悼念', '遇难者', '市民', '团体', '双鞋', '环球网', '半岛', '电视台', '市民', '团体', '集会', '双', '鞋子', '悼念', '死难者', '悼念', '遇难者', '市民', '团体', '双鞋']"
182,2023-11-17 22:53,"['光', '计划', '学校', '念书', '年龄', '经历', '儿童']"
183,2023-11-17 20:59,"['医院', '避难者', '医生', '患者', '网页', '链接']"
184,2023-11-17 21:57,"['医院', '军徽', '博', '视频']"
185,2023-11-17 22:53,"['无端', '敌意', '国家', '代表', '政策']"
186,2023-11-17 20:59,"['格局', '关键', '军事论坛', '论坛', '光', '铁穹', '战果', '菜', '对方', '炸', '力量', '导弹', '飞机', '时期', '时会', '二炮', '二炮', '震慑力', '制空权', '人', '鱼肉', '优势', '被动局面', '买家', '生产线', '二炮', '部队', '高射炮', '战略', '战机', '对方', '威风', '经济']"
187,2023-11-17 21:56,"['医院', '遗体', '狗', '遗体', '新生儿', '医院', '墓地', '手', '视频', '手', '视频']"
188,2023-11-17 22:52,"['战区', '装甲车', '履带', '大卫', '星', '图案', '烟雾', '母子', '人质', '地带', '发电厂', '燃料', '战争', '铁穹', '系统', '现场', '铁穹', '系统', '故障', '地带', '地带', '博', '新知', '博主', '大象', '军事', '勇者', '博', '视频']"
189,2023-11-17 20:58,"['传单', '民众', '军队', '地带', '汗', '区域', '传单', '民众', '国防部长', '媒体报道', '汗', '传单', '内容', '民众', '外界', '地面', '地带', '传单', '传单', '民众']"
190,2023-11-17 21:54,"['市民', '团体', '双鞋', '市民', '团体', '双鞋', '悼念', '遇难者', '市民', '团体', '双鞋', '市民', '团体', '双鞋', '悼念', '遇难者', '环球网', '半岛', '电视台', '市民', '团体', '集会', '双', '鞋子', '悼念', '死难者', '悼念', '遇难者', '市民', '团体', '双鞋']"
191,2023-11-17 22:51,"['外长', '秘密', '渠道', '新闻', '外长', '秘密', '渠道']"
192,2023-11-17 20:58,"['局势', '人', '决议', '弃权票', '国际局势', '局势', '人', '决议', '弃权票', '国际局势', '网页', '链接']"
193,2023-11-17 21:54,"['市民', '团体', '双鞋', '悼念', '遇难者', '市民', '团体', '双鞋', '市民', '团体', '双鞋', '悼念', '遇难者', '环球网', '半岛', '电视台', '市民', '团体', '集会', '双', '鞋子', '悼念', '死难者', '悼念', '遇难者', '市民', '团体', '双鞋']"
194,2023-11-17 22:51,"['医院', '中心', '时', '方式', '军事行动', '时报', '医院', '军方', '消息人士', '声明', '导弹', '驱逐舰', '方向', '话题', '权威专家', '来源', '局势', '宇宙', '飞', '火凤凰', '博', '视频']"
