,date,words
111,2023-09-06 13:05,"['闹钟', '年薪', '灵魂', '刺绣', '画面', '原创', '刺绣', '画技', '过程', '刺绣', '图案', '绣花', '少女', '刺绣', '奶奶', '艺术品', '刺绣', '礼品', '工艺品', '刺绣', '女性', '男性', '刺绣', '专利', '会粹', '肖像', '家谱', '灵魂', '领先', '遗', '技']"
112,2023-07-23 00:00,"['纪念', '博', '视频']"
113,2023-10-21 10:57,['孩子']
114,2023-01-06 09:37,"['牛', '公司', '干件', '大事', '瓷器活', '宅女', '视频', '众志成城', '人定胜天']"
115,2023-09-20 10:38,"['专利', '恋情', '传闻', 'A股', '年薪', '灵魂', '刺绣', '画面', '原创', '刺绣', '画技', '过程', '刺绣', '图案', '绣花', '少女', '刺绣', '奶奶', '艺术品', '刺绣', '礼品', '工艺品', '刺绣', '女性', '男性', '刺绣', '专利', '会粹', '肖像', '家谱', '灵魂', '领先', '遗', '技']"
116,2012-11-20 20:56,"['现场', '照片', '医院', '战争', '旁观者', '想象', '孩子', '承受能力', '大图', '世界', '假装']"
117,2023-10-29 16:25,"['女生', '本质区别', '全世界', '事实', '恐怖分子', '边境', '竞争对手', '人', '地带', '水电', '互联网', '基础设施', '恐怖分子', '利用', '资源', '弹药', '司机', '当局', '恐怖活动', '居民', '恐怖组织', '机会', '视频']"
118,2023-10-03 14:26,"['问', '老牛', '财经', '博主', '基金', '经理', '时政', '本职工作', '基金', '经理', '原因', '卵巢', '彩票', '政治经济', '政策', '公平', '现象', '不合理', '人', '股市', '时站', '散户', '立场', '大', '股东', '交易', '制度', '机构', '言论', '散户', '义愤', '程度', '时', '股市', '股市', '走势', '经济', '经济', '时政', '经济', '企业家', '投资者', '信心', '时', '技术性', '制度', '解决问题', '关心', '时政', '观点', '原因', '普通人', '言论', '空气', '影响力', '人', '国家', '献计献策', '股市', '利空', '情况', '空间', '动力', '结构性', '机会', '土地', '人才', '冒险', '事情']"
119,2014-04-22 22:19,"['大学校长', '书单', '校长', '时间', '简史', '校长', '校长', '校长', '校长', '哲学', '简史', '校长', '校长', '神雕侠侣', '校长', '世界']"
120,2023-10-25 09:22,"['旗号', '社区', '家庭', '孩子', '女孩', '男主人', '父亲', '教授', '全家', '情况', '词', '大师', '微博', '视频']"
121,2023-10-23 16:54,"['环球军事', '兄妹', '医院', '语气', '采访者', '军情', '军情', '退伍军人', '博', '视频']"
122,2022-07-30 22:26,"['全球性', '科技', '人类', '科技', '时期', '脑神经', '科学', '人工智能', '技术', '技术', '战争', '风险', '战争', '时期', '军备竞赛', '技术', '金融', '星象']"
123,2020-03-21 12:50,"['道长', '丘处机', '故事', '影片', '作品', '演员', '涂们', '人', '主演', '电影频道', '博', '视频']"
124,2023-10-31 17:18,"['借口', '无辜', '妇女儿童', '理由', '目的', '军队', '土地', '难民', '正义性', '观点', '宗教', '极端主义', '思想', '道路', '全世界', '正义', '制裁', '人类', '决议', '视频']"
125,2023-10-29 16:53,"['朋友', '地方']"
126,2023-10-09 21:00,"['乱局', '时间', '线', '网页', '链接']"
127,2020-05-17 19:23,"['世界', '地图集', '世界史', '世界', '地图集', '版', '细节', '六版', '国家', '地理', '世界', '地图集', '图', '绿色', '阴影', '代表', '经典', '红色', '文字', '地图', '图', '战争', '国家', '领土', '地图', '图', '协议', '生效', '军队', '情况', '协议', '条约', '条约', '过程', '地图', '图', '地图', '图', '全境', '领土', '红袍', '萤火虫', '鹰']"
128,2023-10-31 23:33,"['方人', '时间', '局势', '方', '敌对行动', '人', '全力', '局势', '方', '国际', '人道', '法', '义务', '人', '灾难', '外交', '人员', '对话', '空间', '危机', '政治', '轨道', '当事方', '地缘', '政治', '考量', '战争', '作出努力', '代表', '人', '民众', '国际', '人道', '法', '重要性', '法治', '开绿灯', '全世界', '目光', '历史记录', '国际', '时讯', '国际', '时讯', '视频']"
129,2023-10-30 18:06,"['话', '全剧', '全程', '高能', '影视', '博', '视频']"
130,2023-10-31 20:43,"['妹妹', '藤原', '视频']"
131,2023-10-20 10:34,[]
132,2023-10-30 19:53,"['对立面', '仇恨', '全世界', '无脑', '全世界', '借机', '人']"
